		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)
_nl_1			0.129	-0.900	-0.00762	-1.327		0.0972	-0.559	-0.311	-2.637		0.0188	-0.244	1.420*	-0.381		-0.0231	-0.285	1.210	-0.356		0.129	-0.900	-0.00762	-1.327		0.0972	-0.559	-0.311	-2.637		0.0188	-0.244	1.420*	-0.381		-0.0231	-0.285	1.210	-0.356
			[0.350]	[1.610]	[0.367]	[1.923]		[0.313]	[1.518]	[0.340]	[1.751]		[0.705]	[1.616]	[0.806]	[1.878]		[0.768]	[1.768]	[0.788]	[1.767]		[0.350]	[1.610]	[0.367]	[1.923]		[0.313]	[1.518]	[0.340]	[1.751]		[0.705]	[1.616]	[0.806]	[1.878]		[0.768]	[1.768]	[0.788]	[1.767]
_Iannee_obs_1861	annee_obs==1861											0.0417***					-0.394***															0.0417***					-0.394***				
												[0.0139]					[0.113]															[0.0139]					[0.113]				
o._Iannee_obs_1871	annee_obs==1871 = o,											-																				-									
																																									
o._Iannee_obs_1911	annee_obs==1911 = o,																-																				-				
																																									
Constant	Constant	-2.021***					-1.040					1.843**					2.199**					-2.021***					-1.040					1.843**					2.199**				
		[0.603]					[0.831]					[0.773]					[0.983]					[0.603]					[0.831]					[0.773]					[0.983]				
																																									
Observations		474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474	474
R-squared		0.784					0.805					0.813					0.821					0.784					0.805					0.813					0.821				
Number of dptresid		79					79					79					79					79					79					79					79				
Within R2		0.8					0.805					0.8					0.821					0.8					0.805					0.8					0.821				
Adjusted R2		0.8					0.796					0.8					0.813					0.8					0.796					0.8					0.813				
F-stat		100.0					64.998					152.0					100.521					100.0					64.998					152.0					100.521				
Prob>F-stat		0.0					0.000					0.0					0.000					0.0					0.000					0.0					0.000				
Robust standard errors in brackets																																									
*** p<0.01, ** p<0.05, * p<0.1																																									
